Service1,Service2,NumberOfCommonChanges
Reject_TUVOG,Trigger_SECEX,16
Reject_TUVOG,Initialize_VOVAR,4
Reject_TUVOG,Complete_GEHOK,4
Reject_TUVOG,Assign_PAHOL,4
Reject_TUVOG,Transform_WEROT,4
Reject_TUVOG,Initialize_XERAS,8
SetStatus_VAXAK,Select_GOLOQ,1
SetStatus_VAXAK,Renew_PEMER,1
SetStatus_VAXAK,Receive_QEVET,1
SetStatus_VAXAK,SetStatus_HUFEB,1
SetStatus_VAXAK,Initialize_DUNAQ,1
SetStatus_VAXAK,Send_RUDEL,1
SetStatus_VAXAK,IsExistent_MUBEN,1
SetStatus_VAXAK,Delete_QOROQ,1
SetStatus_VAXAK,Select_POBOR,2
SetStatus_VAXAK,Reject_HAPAN,8
Complete_WEZEL,Transform_XIBOM,1
Transform_XIBOM,Complete_WEZEL,1
Collect_DEGAS,Receive_SATES,10
Collect_DEGAS,Select_REVOS,1
Collect_DEGAS,Round_GAKEK,1
Collect_DEGAS,Collect_ZUTOR,1
Collect_DEGAS,Round_NOMEV,1
Collect_DEGAS,Touch_PORAM,1
Collect_DEGAS,Renew_REBAL,1
Collect_DEGAS,Touch_VOMOR,1
Collect_DEGAS,Send_DEFON,1
Collect_DEGAS,Delete_GOHER,1
Collect_DEGAS,Renew_KINAB,1
Collect_DEGAS,Reject_SEHEZ,1
Collect_DEGAS,Initialize_XEFET,1
Collect_DEGAS,Reject_GINEK,1
Collect_DEGAS,Reject_HIHOB,1
Collect_DEGAS,Round_ZACAB,1
Collect_DEGAS,Renew_TAZAK,1
Collect_DEGAS,Delete_VEBEL,1
Collect_DEGAS,Set_MOMOS,2
Collect_DEGAS,Assign_WEBOK,2
Collect_DEGAS,Report_DALOB,2
Collect_DEGAS,Initialize_TOPAV,2
Collect_DEGAS,Stop_VUREX,2
Collect_DEGAS,Generate_RAPOG,2
Collect_DEGAS,Round_FOLOV,3
Collect_DEGAS,Convert_DIKET,7
Collect_DEGAS,Report_LONOS,8
Receive_FIHET,Send_BOVEL,1
Trigger_GOKOV,Convert_RUROS,1
Trigger_GOKOV,Migrate_TETEV,1
Trigger_GOKOV,Send_DOKAZ,1
Trigger_GOKOV,Trigger_LOROM,1
Trigger_GOKOV,Select_CELAM,1
Trigger_GOKOV,Assign_LEDOR,1
Trigger_GOKOV,Generate_SINEQ,1
Trigger_GOKOV,Send_QOGAR,1
Trigger_GOKOV,Complete_FAZOR,1
Trigger_GOKOV,Start_CUCEK,1
Trigger_GOKOV,Report_ZOLAX,1
Trigger_GOKOV,Migrate_RETAK,1
Trigger_GOKOV,Delete_MERAM,1
Trigger_GOKOV,Initialize_QOHAL,1
Trigger_GOKOV,Round_MUVAV,1
Trigger_GOKOV,Collect_QUZOT,1
Trigger_GOKOV,Migrate_ZEKAL,1
Trigger_GOKOV,Trigger_TEVOT,1
Trigger_GOKOV,Delete_PEREZ,3
Trigger_GOKOV,Receive_ROTAG,3
Trigger_GOKOV,Trigger_SUVEK,3
Trigger_GOKOV,Round_SASAT,4
Touch_HULAX,Convert_QUXEV,2
Generate_KAMEZ,Convert_LENOB,1
Generate_KAMEZ,Round_MIPAG,1
Generate_KAMEZ,Migrate_NOREK,1
Generate_KAMEZ,Freeze_PUSOL,1
Generate_KAMEZ,Send_FELOK,1
Convert_LENOB,Transform_DAKEG,1
Convert_LENOB,Generate_POVAT,1
Convert_LENOB,Delete_NEXAG,1
Convert_LENOB,Trigger_HODAS,1
Convert_LENOB,Round_MIPAG,2
Convert_LENOB,Migrate_NOREK,2
Convert_LENOB,Freeze_PUSOL,2
Convert_LENOB,Send_FELOK,2
Round_MIPAG,Transform_DAKEG,1
Round_MIPAG,Generate_POVAT,1
Round_MIPAG,Delete_NEXAG,1
Round_MIPAG,Trigger_HODAS,1
Round_MIPAG,Convert_LENOB,2
Round_MIPAG,Migrate_NOREK,2
Round_MIPAG,Freeze_PUSOL,2
Round_MIPAG,Send_FELOK,2
Migrate_NOREK,Transform_DAKEG,1
Migrate_NOREK,Generate_POVAT,1
Migrate_NOREK,Delete_NEXAG,1
Migrate_NOREK,Trigger_HODAS,1
Migrate_NOREK,Convert_LENOB,2
Migrate_NOREK,Round_MIPAG,2
Migrate_NOREK,Freeze_PUSOL,2
Migrate_NOREK,Send_FELOK,2
Migrate_NOREK,Receive_KUHAX,2
Freeze_PUSOL,Transform_DAKEG,1
Freeze_PUSOL,Generate_POVAT,1
Freeze_PUSOL,Delete_NEXAG,1
Freeze_PUSOL,Trigger_HODAS,1
Freeze_PUSOL,Convert_LENOB,2
Freeze_PUSOL,Round_MIPAG,2
Freeze_PUSOL,Migrate_NOREK,2
Freeze_PUSOL,Send_FELOK,2
Initialize_REVEN,Report_SIMEV,1
Stop_SIXOQ,Convert_QUXEV,1
Stop_SIXOQ,IsExistent_VOSEN,1
IsExistent_TOZAR,Assign_BIKAN,1
Assign_VUBES,Initialize_SEPOL,1
Report_WACOT,Round_RAZOX,1
Report_WACOT,Reject_QEGEK,1
Report_WACOT,Stop_PUHER,1
Report_WACOT,Trigger_NEMON,1
Select_XEDAV,SetStatus_BOGOZ,1
Select_XEDAV,Receive_LARAQ,1
Select_XEDAV,Convert_XITOL,1
Reject_ZIFEX,Stop_PUHER,1
SetStatus_BOGOZ,Select_XEDAV,1
SetStatus_BOGOZ,Receive_LARAQ,1
SetStatus_BOGOZ,Convert_XITOL,1
Complete_CUHAB,Report_SIMEV,1
Complete_CUHAB,Start_MIFON,2
Transform_DAKEG,Convert_LENOB,1
Transform_DAKEG,Round_MIPAG,1
Transform_DAKEG,Migrate_NOREK,1
Transform_DAKEG,Freeze_PUSOL,1
Transform_DAKEG,Send_FELOK,1
Transform_DAKEG,Generate_POVAT,1
Transform_DAKEG,Delete_NEXAG,1
Transform_DAKEG,Trigger_HODAS,1
Send_FELOK,Transform_DAKEG,1
Send_FELOK,Generate_POVAT,1
Send_FELOK,Delete_NEXAG,1
Send_FELOK,Trigger_HODAS,1
Send_FELOK,Convert_LENOB,2
Send_FELOK,Round_MIPAG,2
Send_FELOK,Migrate_NOREK,2
Send_FELOK,Freeze_PUSOL,2
Renew_GIMAL,Start_MIFON,1
Renew_GIMAL,Receive_PAZAB,1
Delete_HONEM,Collect_KUPON,1
Delete_HONEM,Generate_CUCAZ,1
Collect_KUPON,Delete_HONEM,1
Receive_LARAQ,Select_XEDAV,1
Receive_LARAQ,SetStatus_BOGOZ,1
Receive_LARAQ,Convert_XITOL,1
Trigger_MESER,Complete_XESOG,1
Touch_NITOS,Migrate_SEBAZ,4
Touch_NITOS,SetStatus_RIHOL,4
Touch_NITOS,Migrate_KACAL,4
Generate_POVAT,Convert_LENOB,1
Generate_POVAT,Round_MIPAG,1
Generate_POVAT,Migrate_NOREK,1
Generate_POVAT,Freeze_PUSOL,1
Generate_POVAT,Transform_DAKEG,1
Generate_POVAT,Send_FELOK,1
Generate_POVAT,Delete_NEXAG,1
Generate_POVAT,Trigger_HODAS,1
Convert_QUXEV,IsExistent_VOSEN,1
Convert_QUXEV,Touch_HULAX,2
Round_RAZOX,Report_WACOT,1
Round_RAZOX,Reject_QEGEK,1
Round_RAZOX,Stop_PUHER,1
Round_RAZOX,Trigger_NEMON,1
Migrate_SEBAZ,SetStatus_RIHOL,1
Migrate_SEBAZ,Migrate_KACAL,1
Migrate_SEBAZ,Touch_NITOS,4
Freeze_TICEB,Start_WOXAZ,1
Freeze_TICEB,Touch_GEKES,1
Freeze_TICEB,Generate_HILOT,1
Freeze_TICEB,Round_LUNEX,1
Start_VODOG,Initialize_WUFAK,1
Start_VODOG,Stop_XAGEL,1
Start_VODOG,IsExistent_ZEHOM,1
Start_VODOG,Report_COLEQ,1
Start_VODOG,Reject_FANAS,1
Start_VODOG,Complete_HIROV,1
Start_VODOG,Transform_KOSAX,1
Start_VODOG,Collect_PIZEK,1
Start_VODOG,Touch_SADEN,1
Start_VODOG,Generate_TEFOQ,1
Start_VODOG,Convert_VIGAR,1
Start_VODOG,Round_WOHES,1
Start_VODOG,Migrate_XUKOT,1
Start_VODOG,Start_BEMEX,1
Start_VODOG,Initialize_CINOZ,1
Start_VODOG,Stop_DOPAB,1
Start_VODOG,IsExistent_FUREG,1
Start_VODOG,Select_KIVEM,1
Start_VODOG,SetStatus_MUZAQ,1
Start_VODOG,Send_QIDAT,1
Start_VODOG,Renew_ROFEV,1
Start_VODOG,Delete_SUGOX,1
Start_VODOG,Collect_TAHAZ,1
Start_VODOG,Trigger_WILOG,1
Start_VODOG,Generate_ZUNEL,1
Start_VODOG,Convert_BAPOM,1
Start_VODOG,Freeze_FOTOR,1
Start_VODOG,Start_GUVAS,1
Start_VODOG,Initialize_HAXET,1
Start_VODOG,Stop_KEZOV,1
Start_VODOG,IsExistent_LIBAX,1
Start_VODOG,Report_NUDOB,1
Start_VODOG,Select_PAFAG,1
Start_VODOG,Reject_QEGEK,1
Start_VODOG,SetStatus_RIHOL,1
Start_VODOG,Transform_TULEN,1
Start_VODOG,Send_VAMOQ,1
Start_VODOG,Renew_WENAR,1
Start_VODOG,Receive_BUSAV,1
Start_VODOG,Trigger_CATEX,1
Start_VODOG,Touch_DEVOZ,1
Start_VODOG,Generate_FIXAB,1
Start_VODOG,Round_HUBOK,1
Start_VODOG,Freeze_WEBEZ,1
Start_VODOG,Start_XICOB,1
Start_VODOG,Assign_DEHAM,1
Start_VODOG,SetStatus_GEPET,2
Initialize_WUFAK,Start_VODOG,1
Initialize_WUFAK,Stop_XAGEL,1
Initialize_WUFAK,IsExistent_ZEHOM,1
Initialize_WUFAK,Report_COLEQ,1
Initialize_WUFAK,Reject_FANAS,1
Initialize_WUFAK,Complete_HIROV,1
Initialize_WUFAK,Transform_KOSAX,1
Initialize_WUFAK,Collect_PIZEK,1
Initialize_WUFAK,Touch_SADEN,1
Initialize_WUFAK,Generate_TEFOQ,1
Initialize_WUFAK,Convert_VIGAR,1
Initialize_WUFAK,Round_WOHES,1
Initialize_WUFAK,Migrate_XUKOT,1
Initialize_WUFAK,Start_BEMEX,1
Initialize_WUFAK,Initialize_CINOZ,1
Initialize_WUFAK,Stop_DOPAB,1
Initialize_WUFAK,IsExistent_FUREG,1
Initialize_WUFAK,Select_KIVEM,1
Initialize_WUFAK,SetStatus_MUZAQ,1
Initialize_WUFAK,Send_QIDAT,1
Initialize_WUFAK,Renew_ROFEV,1
Initialize_WUFAK,Delete_SUGOX,1
Initialize_WUFAK,Collect_TAHAZ,1
Initialize_WUFAK,Trigger_WILOG,1
Initialize_WUFAK,Generate_ZUNEL,1
Initialize_WUFAK,Convert_BAPOM,1
Initialize_WUFAK,Freeze_FOTOR,1
Initialize_WUFAK,Start_GUVAS,1
Initialize_WUFAK,Initialize_HAXET,1
Initialize_WUFAK,Stop_KEZOV,1
Initialize_WUFAK,IsExistent_LIBAX,1
Initialize_WUFAK,Report_NUDOB,1
Initialize_WUFAK,Select_PAFAG,1
Initialize_WUFAK,Reject_QEGEK,1
Initialize_WUFAK,SetStatus_RIHOL,1
Initialize_WUFAK,Transform_TULEN,1
Initialize_WUFAK,Send_VAMOQ,1
Initialize_WUFAK,Renew_WENAR,1
Initialize_WUFAK,Receive_BUSAV,1
Initialize_WUFAK,Trigger_CATEX,1
Initialize_WUFAK,Touch_DEVOZ,1
Initialize_WUFAK,Generate_FIXAB,1
Initialize_WUFAK,Round_HUBOK,1
Initialize_WUFAK,Freeze_WEBEZ,1
Initialize_WUFAK,Start_XICOB,1
Initialize_WUFAK,Assign_DEHAM,1
Initialize_WUFAK,SetStatus_GEPET,2
Stop_XAGEL,Start_VODOG,1
Stop_XAGEL,Initialize_WUFAK,1
Stop_XAGEL,IsExistent_ZEHOM,1
Stop_XAGEL,Report_COLEQ,1
Stop_XAGEL,Reject_FANAS,1
Stop_XAGEL,Complete_HIROV,1
Stop_XAGEL,Transform_KOSAX,1
Stop_XAGEL,Collect_PIZEK,1
Stop_XAGEL,Touch_SADEN,1
Stop_XAGEL,Generate_TEFOQ,1
Stop_XAGEL,Convert_VIGAR,1
Stop_XAGEL,Round_WOHES,1
Stop_XAGEL,Migrate_XUKOT,1
Stop_XAGEL,Start_BEMEX,1
Stop_XAGEL,Initialize_CINOZ,1
Stop_XAGEL,Stop_DOPAB,1
Stop_XAGEL,IsExistent_FUREG,1
Stop_XAGEL,Select_KIVEM,1
Stop_XAGEL,SetStatus_MUZAQ,1
Stop_XAGEL,Send_QIDAT,1
Stop_XAGEL,Renew_ROFEV,1
Stop_XAGEL,Delete_SUGOX,1
Stop_XAGEL,Collect_TAHAZ,1
Stop_XAGEL,Trigger_WILOG,1
Stop_XAGEL,Generate_ZUNEL,1
Stop_XAGEL,Convert_BAPOM,1
Stop_XAGEL,Freeze_FOTOR,1
Stop_XAGEL,Start_GUVAS,1
Stop_XAGEL,Initialize_HAXET,1
Stop_XAGEL,Stop_KEZOV,1
Stop_XAGEL,IsExistent_LIBAX,1
Stop_XAGEL,Report_NUDOB,1
Stop_XAGEL,Select_PAFAG,1
Stop_XAGEL,Reject_QEGEK,1
Stop_XAGEL,SetStatus_RIHOL,1
Stop_XAGEL,Transform_TULEN,1
Stop_XAGEL,Send_VAMOQ,1
Stop_XAGEL,Renew_WENAR,1
Stop_XAGEL,Receive_BUSAV,1
Stop_XAGEL,Trigger_CATEX,1
Stop_XAGEL,Touch_DEVOZ,1
Stop_XAGEL,Generate_FIXAB,1
Stop_XAGEL,Round_HUBOK,1
